,Ticker,Fund,Issuer,Family,FamilyLabel,Benchmark,Date,Price,AUM,ExpenseRatio,ADVmm,SpreadBps,RoundTripBps,VolAnn
0,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-06,268.25,154580.0,0.4,2382.61,12.854,12.875,13.773
1,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-07,268.39,154580.0,0.4,2356.428,14.218,14.239,13.772
2,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-10,266.04,154580.0,0.4,2343.102,14.218,14.249,13.828
3,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-11,269.16,154580.0,0.4,2336.2,14.218,14.255,13.78
4,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-12,270.33,154580.0,0.4,2260.018,15.402,15.433,13.69
5,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-13,275.13,154580.0,0.4,2348.763,14.429,14.466,13.68
6,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-14,275.24,154580.0,0.4,2405.03,11.959,11.996,13.372
7,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-17,276.73,154580.0,0.4,2410.69,12.068,12.099,13.39
8,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-18,279.96,154580.0,0.4,2392.208,10.832,10.863,13.474
9,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-19,281.11,154580.0,0.4,2404.783,11.694,11.717,12.698
10,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-20,280.75,154580.0,0.4,2362.674,11.55,11.572,12.722
11,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-21,278.49,154580.0,0.4,2391.856,11.231,11.262,12.805
12,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-24,277.25,154580.0,0.4,2380.794,13.224,13.255,12.799
13,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-25,278.47,154580.0,0.4,2378.627,13.224,13.255,12.805
14,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-26,278.24,154580.0,0.4,2298.947,13.224,13.247,12.789
15,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-27,281.97,154580.0,0.4,2319.547,10.929,10.96,12.842
16,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-28,284.06,154580.0,0.4,2330.645,10.929,10.956,12.822
17,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-31,288.14,154580.0,0.4,2377.483,10.929,10.96,13.019
18,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-01,287.57,154580.0,0.4,2497.407,14.22,14.247,12.866
19,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-02,288.16,154580.0,0.4,2540.709,15.841,15.864,12.679
20,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-03,286.42,154580.0,0.4,2730.892,15.672,15.694,12.782
21,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-04,279.72,154580.0,0.4,2939.116,14.101,14.124,13.863
22,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-07,273.71,154580.0,0.4,3063.961,12.738,12.765,14.689
23,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-08,275.2,154580.0,0.4,3133.395,17.027,17.05,14.621
24,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-09,285.38,154580.0,0.4,3369.65,17.027,17.05,16.048
25,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-10,292.35,154580.0,0.4,3552.67,15.843,15.87,16.642
26,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-11,297.93,154580.0,0.4,3671.703,15.843,15.87,16.941
27,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-14,296.23,154580.0,0.4,3671.839,15.843,15.87,17.015
28,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-15,297.78,154580.0,0.4,3671.094,15.734,15.761,16.937
29,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-16,307.47,154580.0,0.4,3847.38,15.734,15.761,17.781
30,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-17,306.12,154580.0,0.4,3995.868,17.86,17.888,17.845
31,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-21,315.59,154580.0,0.4,4223.638,16.171,16.202,18.678
32,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-22,311.11,154580.0,0.4,4621.627,17.643,17.67,19.026
33,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-23,303.65,154580.0,0.4,4885.306,14.481,14.511,19.652
34,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-24,308.07,154580.0,0.4,4976.903,14.481,14.511,19.759
35,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-25,304.73,154580.0,0.4,5082.793,14.481,14.512,19.918
36,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-28,309.07,154580.0,0.4,5106.966,14.481,14.512,19.896
37,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-29,306.06,154580.0,0.4,5077.465,17.014,17.047,20.067
38,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-30,303.77,154580.0,0.4,5006.923,18.681,18.712,20.17
39,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-01,297.46,154580.0,0.4,5000.902,15.39,15.423,20.681
40,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-02,297.98,154580.0,0.4,4972.077,13.769,13.802,20.664
41,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-05,306.88,154580.0,0.4,4822.553,12.95,12.99,21.388
42,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-06,315.48,154580.0,0.4,4707.885,12.95,12.991,21.996
43,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-07,310.75,154580.0,0.4,4566.452,12.95,12.992,22.112
44,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-08,304.63,154580.0,0.4,4573.839,8.661,8.704,22.549
45,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-09,306.84,154580.0,0.4,4330.46,10.262,10.303,22.571
46,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-12,298.19,154580.0,0.4,4258.421,10.262,10.305,23.381
47,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-13,299.46,154580.0,0.4,4105.286,12.452,12.495,23.128
48,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-14,293.16,154580.0,0.4,4136.596,12.452,12.498,23.409
49,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-15,297.84,154580.0,0.4,4215.668,12.452,12.498,23.596
50,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-16,294.24,154580.0,0.4,4110.031,12.452,12.495,23.763
51,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-19,298.03,154580.0,0.4,4008.872,9.463,9.506,23.873
52,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-20,303.58,154580.0,0.4,3888.492,9.463,9.506,24.11
53,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-21,305.82,154580.0,0.4,3547.176,7.991,8.035,23.929
54,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-22,303.11,154580.0,0.4,3319.662,7.991,8.035,24.036
55,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-23,309.75,154580.0,0.4,3357.323,7.991,8.038,24.092
56,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-27,304.5,154580.0,0.4,3341.066,7.991,8.038,24.363
57,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-28,303.81,154580.0,0.4,3330.44,10.38,10.427,24.279
58,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-29,305.61,154580.0,0.4,3368.652,7.847,7.887,24.254
59,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-30,303.6,154580.0,0.4,3386.242,6.18,6.219,24.32
60,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-02,311.67,154580.0,0.4,3375.951,6.18,6.219,24.774
61,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-03,308.91,154580.0,0.4,3389.834,6.18,6.219,24.881
62,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-04,310.9,154580.0,0.4,3369.905,6.18,6.217,24.785
63,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-05,309.33,154580.0,0.4,3357.31,9.8,9.835,24.761
64,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-06,305.18,154580.0,0.4,3353.753,9.8,9.835,24.968
65,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-09,306.62,154580.0,0.4,3285.257,12.389,12.42,24.763
66,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-10,306.71,154580.0,0.4,3287.53,11.522,11.552,24.763
67,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-11,308.37,154580.0,0.4,3219.211,15.71,15.739,24.763
68,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-12,312.2,154580.0,0.4,3244.714,13.52,13.55,24.776
69,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-13,316.29,154580.0,0.4,3288.01,13.52,13.549,24.879
70,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-16,311.78,154580.0,0.4,3287.33,13.52,13.549,25.095
71,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-17,311.94,154580.0,0.4,3211.058,13.52,13.547,25.013
72,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-18,310.26,154580.0,0.4,3184.08,17.6,17.625,25.024
73,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-20,310.13,154580.0,0.4,3128.184,17.6,17.623,25.023
74,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-23,311.08,154580.0,0.4,3135.344,17.6,17.623,25.018
75,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-24,306.19,154580.0,0.4,3170.754,17.6,17.623,25.161
76,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-25,307.12,154580.0,0.4,3072.468,17.6,17.621,25.132
77,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-26,306.78,154580.0,0.4,3032.735,20.594,20.614,24.991
78,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-27,301.22,154580.0,0.4,3096.168,18.205,18.226,25.297
79,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-06-30,304.83,154580.0,0.4,3077.006,18.205,18.228,25.398
80,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-07-01,307.55,154580.0,0.4,3075.615,18.205,18.23,25.407
81,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-07-02,309.25,154580.0,0.4,2996.341,20.07,20.091,24.886
